V = 10, E = 12
out_asc_forward 3 [('5', '1'), ('2', '8'), ('6', '15')]
out_desc_forward 3 [('5', '1'), ('2', '8'), ('14', '6')]
in_asc_forward 3 [('5', '1'), ('2', '8'), ('14', '6')]
in_desc_forward 3 [('5', '1'), ('2', '8'), ('6', '15')]
random_forward 3 [('5', '1'), ('2', '8'), ('6', '15')]
greedy1_forward 3 [('5', '1'), ('2', '8'), ('6', '15')]
greedy2_forward 3 [('5', '1'), ('2', '8'), ('6', '15')]
out_asc_backward 3 [('5', '1'), ('2', '8'), ('14', '6')]
out_desc_backward 3 [('5', '1'), ('2', '8'), ('15', '14')]
in_asc_backward 3 [('5', '1'), ('2', '8'), ('15', '14')]
in_desc_backward 3 [('5', '1'), ('2', '8'), ('14', '6')]
random_backward 3 [('5', '1'), ('2', '8'), ('14', '6')]
greedy1_backward 3 [('5', '1'), ('2', '8'), ('14', '6')]
greedy2_backward 3 [('5', '1'), ('2', '8'), ('14', '6')]
Execution time: 0.0015952587127685547 ms
