V = 50, E = 80
out_asc_forward 5 [('30', '2'), ('49', '44'), ('34', '44'), ('8', '10'), ('24', '37')]
out_desc_forward 5 [('44', '34'), ('2', '30'), ('2', '26'), ('23', '8'), ('37', '24')]
in_asc_forward 5 [('34', '44'), ('49', '44'), ('30', '2'), ('23', '8'), ('37', '24')]
in_desc_forward 5 [('2', '30'), ('44', '22'), ('44', '34'), ('8', '10'), ('24', '37')]
random_forward 5 [('15', '2'), ('34', '44'), ('2', '30'), ('18', '23'), ('37', '24')]
greedy1_forward 5 [('15', '2'), ('34', '44'), ('2', '30'), ('18', '23'), ('37', '24')]
greedy2_forward 5 [('15', '2'), ('34', '44'), ('2', '30'), ('18', '23'), ('37', '24')]
out_asc_backward 5 [('2', '30'), ('44', '22'), ('44', '34'), ('23', '8'), ('37', '24')]
out_desc_backward 5 [('34', '44'), ('15', '2'), ('30', '2'), ('18', '23'), ('24', '37')]
in_asc_backward 5 [('44', '34'), ('26', '49'), ('2', '30'), ('18', '23'), ('24', '37')]
in_desc_backward 5 [('30', '2'), ('49', '44'), ('34', '44'), ('23', '8'), ('37', '24')]
random_backward 5 [('44', '34'), ('49', '44'), ('30', '2'), ('10', '18'), ('24', '37')]
greedy1_backward 5 [('44', '34'), ('49', '44'), ('30', '2'), ('10', '18'), ('24', '37')]
greedy2_backward 5 [('44', '34'), ('49', '44'), ('30', '2'), ('10', '18'), ('24', '37')]
Execution time: 0.0037488937377929688 ms
