V = 80, E = 90
out_asc_forward 3 [('55', '49'), ('61', '71'), ('24', '30')]
out_desc_forward 3 [('49', '42'), ('71', '61'), ('66', '24')]
in_asc_forward 3 [('49', '42'), ('71', '61'), ('66', '24')]
in_desc_forward 3 [('55', '49'), ('61', '71'), ('24', '30')]
random_forward 3 [('42', '55'), ('61', '71'), ('66', '24')]
greedy1_forward 3 [('42', '55'), ('61', '71'), ('66', '24')]
greedy2_forward 3 [('42', '55'), ('61', '71'), ('66', '24')]
out_asc_backward 3 [('42', '55'), ('71', '61'), ('66', '24')]
out_desc_backward 3 [('55', '49'), ('61', '71'), ('77', '66')]
in_asc_backward 3 [('55', '49'), ('61', '71'), ('77', '66')]
in_desc_backward 3 [('42', '55'), ('71', '61'), ('66', '24')]
random_backward 3 [('49', '42'), ('71', '61'), ('77', '66')]
greedy1_backward 3 [('49', '42'), ('71', '61'), ('77', '66')]
greedy2_backward 3 [('49', '42'), ('71', '61'), ('77', '66')]
Execution time: 0.001722574234008789 ms
