V = 78, E = 74
out_asc_forward 3 [('90', '14'), ('84', '48'), ('97', '66')]
out_desc_forward 3 [('90', '14'), ('84', '48'), ('66', '36')]
in_asc_forward 3 [('90', '14'), ('84', '48'), ('66', '36')]
in_desc_forward 3 [('90', '14'), ('84', '48'), ('97', '66')]
random_forward 3 [('90', '14'), ('84', '48'), ('66', '36')]
greedy1_forward 3 [('90', '14'), ('84', '48'), ('66', '36')]
greedy2_forward 3 [('90', '14'), ('84', '48'), ('66', '36')]
out_asc_backward 3 [('90', '14'), ('84', '48'), ('52', '97')]
out_desc_backward 3 [('90', '14'), ('84', '48'), ('97', '66')]
in_asc_backward 3 [('90', '14'), ('84', '48'), ('97', '66')]
in_desc_backward 3 [('90', '14'), ('84', '48'), ('52', '97')]
random_backward 3 [('90', '14'), ('84', '48'), ('97', '66')]
greedy1_backward 3 [('90', '14'), ('84', '48'), ('97', '66')]
greedy2_backward 3 [('90', '14'), ('84', '48'), ('97', '66')]
Execution time: 0.001477956771850586 ms
