V = 161, E = 232
out_asc_forward 4 [('84', '97'), ('165', '109'), ('50', '112'), ('139', '169')]
out_desc_forward 4 [('84', '97'), ('109', '165'), ('103', '50'), ('169', '139')]
in_asc_forward 4 [('84', '97'), ('109', '165'), ('103', '50'), ('169', '139')]
in_desc_forward 4 [('84', '97'), ('165', '109'), ('50', '112'), ('139', '169')]
random_forward 4 [('84', '97'), ('165', '109'), ('112', '103'), ('169', '139')]
greedy1_forward 4 [('84', '97'), ('165', '109'), ('112', '103'), ('169', '139')]
greedy2_forward 4 [('84', '97'), ('165', '109'), ('112', '103'), ('169', '139')]
out_asc_backward 4 [('84', '97'), ('109', '165'), ('103', '50'), ('169', '139')]
out_desc_backward 4 [('84', '97'), ('165', '109'), ('112', '103'), ('139', '169')]
in_asc_backward 4 [('84', '97'), ('165', '109'), ('112', '103'), ('139', '169')]
in_desc_backward 4 [('84', '97'), ('109', '165'), ('103', '50'), ('169', '139')]
random_backward 4 [('84', '97'), ('109', '165'), ('50', '112'), ('139', '169')]
greedy1_backward 4 [('84', '97'), ('109', '165'), ('50', '112'), ('139', '169')]
greedy2_backward 4 [('84', '97'), ('109', '165'), ('50', '112'), ('139', '169')]
Execution time: 0.0040285587310791016 ms
