V = 230, E = 322
out_asc_forward 4 [('158', '144'), ('161', '102'), ('65', '47'), ('6', '110')]
out_desc_forward 4 [('144', '158'), ('102', '63'), ('47', '65'), ('230', '10')]
in_asc_forward 4 [('144', '158'), ('102', '63'), ('47', '65'), ('230', '10')]
in_desc_forward 4 [('158', '144'), ('161', '102'), ('65', '47'), ('6', '110')]
random_forward 4 [('144', '158'), ('63', '161'), ('47', '65'), ('221', '185')]
greedy1_forward 4 [('144', '158'), ('63', '161'), ('47', '65'), ('221', '185')]
greedy2_forward 4 [('144', '158'), ('63', '161'), ('47', '65'), ('221', '185')]
out_asc_backward 4 [('144', '158'), ('63', '161'), ('47', '65'), ('112', '6')]
out_desc_backward 4 [('158', '144'), ('161', '102'), ('65', '47'), ('185', '230')]
in_asc_backward 4 [('158', '144'), ('161', '102'), ('65', '47'), ('185', '230')]
in_desc_backward 4 [('144', '158'), ('63', '161'), ('47', '65'), ('112', '6')]
random_backward 4 [('158', '144'), ('102', '63'), ('65', '47'), ('55', '221')]
greedy1_backward 4 [('158', '144'), ('102', '63'), ('65', '47'), ('55', '221')]
greedy2_backward 4 [('158', '144'), ('102', '63'), ('65', '47'), ('55', '221')]
Execution time: 0.007261991500854492 ms
