V = 240, E = 240
out_asc_forward 3 [('32', '219'), ('75', '63'), ('145', '200')]
out_desc_forward 3 [('219', '32'), ('229', '75'), ('200', '145')]
in_asc_forward 3 [('219', '32'), ('229', '75'), ('200', '145')]
in_desc_forward 3 [('32', '219'), ('75', '63'), ('145', '200')]
random_forward 3 [('32', '219'), ('229', '75'), ('200', '145')]
greedy1_forward 3 [('32', '219'), ('229', '75'), ('200', '145')]
greedy2_forward 3 [('32', '219'), ('229', '75'), ('200', '145')]
out_asc_backward 3 [('219', '32'), ('229', '75'), ('200', '145')]
out_desc_backward 3 [('32', '219'), ('63', '229'), ('145', '200')]
in_asc_backward 3 [('32', '219'), ('63', '229'), ('145', '200')]
in_desc_backward 3 [('219', '32'), ('229', '75'), ('200', '145')]
random_backward 3 [('219', '32'), ('63', '229'), ('145', '200')]
greedy1_backward 3 [('219', '32'), ('63', '229'), ('145', '200')]
greedy2_backward 3 [('219', '32'), ('63', '229'), ('145', '200')]
Execution time: 0.00592350959777832 ms
