V = 260, E = 338
out_asc_forward 4 [('1', '147'), ('5', '134'), ('134', '254'), ('33', '120')]
out_desc_forward 3 [('135', '1'), ('109', '74'), ('109', '33')]
in_asc_forward 3 [('135', '1'), ('217', '142'), ('228', '5')]
in_desc_forward 3 [('1', '147'), ('109', '33'), ('109', '74')]
random_forward 3 [('44', '144'), ('5', '134'), ('217', '142')]
greedy1_forward 3 [('44', '144'), ('5', '134'), ('217', '142')]
greedy2_forward 3 [('44', '144'), ('5', '134'), ('217', '142')]
out_asc_backward 3 [('135', '1'), ('228', '5'), ('109', '33')]
out_desc_backward 3 [('80', '135'), ('185', '109'), ('162', '109')]
in_asc_backward 3 [('80', '135'), ('226', '217'), ('203', '228')]
in_desc_backward 3 [('135', '1'), ('162', '109'), ('185', '109')]
random_backward 3 [('147', '44'), ('228', '5'), ('226', '217')]
greedy1_backward 3 [('147', '44'), ('228', '5'), ('226', '217')]
greedy2_backward 3 [('147', '44'), ('228', '5'), ('226', '217')]
Execution time: 0.005764961242675781 ms
