V = 280, E = 336
out_asc_forward 2 [('118', '167'), ('55', '72')]
out_desc_forward 2 [('167', '118'), ('153', '193')]
in_asc_forward 2 [('167', '118'), ('153', '193')]
in_desc_forward 2 [('118', '167'), ('55', '72')]
random_forward 2 [('118', '167'), ('153', '193')]
greedy1_forward 2 [('118', '167'), ('153', '193')]
greedy2_forward 2 [('118', '167'), ('153', '193')]
out_asc_backward 2 [('167', '118'), ('157', '55')]
out_desc_backward 2 [('118', '167'), ('72', '153')]
in_asc_backward 2 [('118', '167'), ('72', '153')]
in_desc_backward 2 [('167', '118'), ('157', '55')]
random_backward 2 [('167', '118'), ('72', '153')]
greedy1_backward 2 [('167', '118'), ('72', '153')]
greedy2_backward 2 [('167', '118'), ('72', '153')]
Execution time: 0.005900382995605469 ms
