V = 276, E = 272
out_asc_forward 5 [('13', '111'), ('130', '202'), ('283', '199'), ('229', '294'), ('242', '305')]
out_desc_forward 5 [('13', '111'), ('130', '202'), ('199', '191'), ('291', '31'), ('267', '104')]
in_asc_forward 5 [('13', '111'), ('130', '202'), ('199', '191'), ('291', '31'), ('267', '104')]
in_desc_forward 5 [('13', '111'), ('130', '202'), ('283', '199'), ('229', '294'), ('242', '305')]
random_forward 5 [('13', '111'), ('130', '202'), ('199', '191'), ('229', '294'), ('95', '242')]
greedy1_forward 5 [('13', '111'), ('130', '202'), ('199', '191'), ('229', '294'), ('95', '242')]
greedy2_forward 5 [('13', '111'), ('130', '202'), ('199', '191'), ('229', '294'), ('95', '242')]
out_asc_backward 5 [('13', '111'), ('130', '202'), ('191', '283'), ('211', '229'), ('95', '242')]
out_desc_backward 5 [('13', '111'), ('130', '202'), ('283', '199'), ('294', '291'), ('164', '267')]
in_asc_backward 5 [('13', '111'), ('130', '202'), ('283', '199'), ('294', '291'), ('164', '267')]
in_desc_backward 5 [('13', '111'), ('130', '202'), ('191', '283'), ('211', '229'), ('95', '242')]
random_backward 5 [('13', '111'), ('130', '202'), ('283', '199'), ('211', '229'), ('86', '95')]
greedy1_backward 5 [('13', '111'), ('130', '202'), ('283', '199'), ('211', '229'), ('86', '95')]
greedy2_backward 5 [('13', '111'), ('130', '202'), ('283', '199'), ('211', '229'), ('86', '95')]
Execution time: 0.006940603256225586 ms
