V = 330, E = 363
out_asc_forward 5 [('230', '87'), ('165', '229'), ('21', '72'), ('49', '172'), ('54', '79')]
out_desc_forward 5 [('87', '32'), ('229', '34'), ('103', '94'), ('172', '49'), ('79', '54')]
in_asc_forward 5 [('87', '32'), ('229', '34'), ('103', '94'), ('172', '49'), ('79', '54')]
in_desc_forward 5 [('230', '87'), ('165', '229'), ('21', '72'), ('49', '172'), ('54', '79')]
random_forward 5 [('32', '230'), ('34', '219'), ('103', '94'), ('172', '49'), ('54', '79')]
greedy1_forward 5 [('32', '230'), ('34', '219'), ('103', '94'), ('172', '49'), ('54', '79')]
greedy2_forward 5 [('32', '230'), ('34', '219'), ('103', '94'), ('172', '49'), ('54', '79')]
out_asc_backward 5 [('32', '230'), ('91', '165'), ('52', '21'), ('172', '49'), ('79', '54')]
out_desc_backward 5 [('230', '87'), ('165', '229'), ('72', '103'), ('49', '172'), ('54', '79')]
in_asc_backward 5 [('230', '87'), ('165', '229'), ('72', '103'), ('49', '172'), ('54', '79')]
in_desc_backward 5 [('32', '230'), ('91', '165'), ('52', '21'), ('172', '49'), ('79', '54')]
random_backward 5 [('87', '32'), ('229', '34'), ('72', '103'), ('49', '172'), ('79', '54')]
greedy1_backward 5 [('87', '32'), ('229', '34'), ('72', '103'), ('49', '172'), ('79', '54')]
greedy2_backward 5 [('87', '32'), ('229', '34'), ('72', '103'), ('49', '172'), ('79', '54')]
Execution time: 0.007598161697387695 ms
