V = 440, E = 440
out_asc_forward 6 [('266', '322'), ('40', '428'), ('400', '288'), ('127', '284'), ('280', '401'), ('300', '111')]
out_desc_forward 6 [('322', '110'), ('233', '40'), ('288', '400'), ('256', '127'), ('436', '158'), ('111', '300')]
in_asc_forward 6 [('322', '110'), ('233', '40'), ('288', '400'), ('256', '127'), ('436', '158'), ('111', '300')]
in_desc_forward 6 [('266', '322'), ('40', '428'), ('400', '288'), ('127', '284'), ('280', '401'), ('300', '111')]
random_forward 6 [('47', '262'), ('40', '428'), ('400', '288'), ('127', '284'), ('280', '401'), ('300', '111')]
greedy1_forward 6 [('47', '262'), ('40', '428'), ('400', '288'), ('127', '284'), ('280', '401'), ('300', '111')]
greedy2_forward 6 [('47', '262'), ('40', '428'), ('400', '288'), ('127', '284'), ('280', '401'), ('300', '111')]
out_asc_backward 6 [('283', '266'), ('233', '40'), ('288', '400'), ('256', '127'), ('158', '280'), ('111', '300')]
out_desc_backward 6 [('266', '322'), ('428', '233'), ('400', '288'), ('284', '256'), ('410', '436'), ('300', '111')]
in_asc_backward 6 [('266', '322'), ('428', '233'), ('400', '288'), ('284', '256'), ('410', '436'), ('300', '111')]
in_desc_backward 6 [('283', '266'), ('233', '40'), ('288', '400'), ('256', '127'), ('158', '280'), ('111', '300')]
random_backward 6 [('195', '47'), ('233', '40'), ('288', '400'), ('256', '127'), ('158', '280'), ('111', '300')]
greedy1_backward 6 [('195', '47'), ('233', '40'), ('288', '400'), ('256', '127'), ('158', '280'), ('111', '300')]
greedy2_backward 6 [('195', '47'), ('233', '40'), ('288', '400'), ('256', '127'), ('158', '280'), ('111', '300')]
Execution time: 0.015637874603271484 ms
