V = 440, E = 528
out_asc_forward 4 [('62', '291'), ('18', '185'), ('27', '337'), ('319', '163')]
out_desc_forward 4 [('250', '62'), ('366', '139'), ('433', '322'), ('163', '319')]
in_asc_forward 4 [('250', '62'), ('366', '139'), ('433', '322'), ('163', '319')]
in_desc_forward 4 [('62', '291'), ('18', '185'), ('27', '337'), ('319', '163')]
random_forward 4 [('92', '250'), ('139', '18'), ('148', '376'), ('319', '163')]
greedy1_forward 4 [('92', '250'), ('139', '18'), ('148', '376'), ('319', '163')]
greedy2_forward 4 [('92', '250'), ('139', '18'), ('148', '376'), ('319', '163')]
out_asc_backward 4 [('250', '62'), ('139', '18'), ('233', '27'), ('163', '319')]
out_desc_backward 4 [('92', '250'), ('185', '366'), ('376', '433'), ('319', '163')]
in_asc_backward 4 [('92', '250'), ('185', '366'), ('376', '433'), ('319', '163')]
in_desc_backward 4 [('250', '62'), ('139', '18'), ('233', '27'), ('163', '319')]
random_backward 4 [('89', '92'), ('366', '139'), ('44', '148'), ('163', '319')]
greedy1_backward 4 [('89', '92'), ('366', '139'), ('44', '148'), ('163', '319')]
greedy2_backward 4 [('89', '92'), ('366', '139'), ('44', '148'), ('163', '319')]
Execution time: 0.01165008544921875 ms
