V = 480, E = 480
out_asc_forward 3 [('14', '95'), ('95', '293'), ('175', '67')]
out_desc_forward 2 [('67', '322'), ('67', '273')]
in_asc_forward 2 [('248', '14'), ('394', '175')]
in_desc_forward 2 [('67', '273'), ('67', '322')]
random_forward 2 [('67', '273'), ('67', '322')]
greedy1_forward 2 [('67', '273'), ('67', '322')]
greedy2_forward 2 [('67', '273'), ('67', '322')]
out_asc_backward 2 [('248', '14'), ('394', '175')]
out_desc_backward 2 [('462', '67'), ('175', '67')]
in_asc_backward 2 [('322', '248'), ('280', '394')]
in_desc_backward 2 [('175', '67'), ('462', '67')]
random_backward 2 [('175', '67'), ('462', '67')]
greedy1_backward 2 [('175', '67'), ('462', '67')]
greedy2_backward 2 [('175', '67'), ('462', '67')]
Execution time: 0.012198448181152344 ms
