V = 500, E = 500
out_asc_forward 2 [('140', '372'), ('23', '167')]
out_desc_forward 2 [('425', '140'), ('155', '101')]
in_asc_forward 2 [('425', '140'), ('155', '101')]
in_desc_forward 2 [('140', '372'), ('23', '167')]
random_forward 2 [('425', '140'), ('23', '167')]
greedy1_forward 2 [('425', '140'), ('23', '167')]
greedy2_forward 2 [('425', '140'), ('23', '167')]
out_asc_backward 2 [('425', '140'), ('40', '23')]
out_desc_backward 2 [('372', '425'), ('167', '155')]
in_asc_backward 2 [('372', '425'), ('167', '155')]
in_desc_backward 2 [('425', '140'), ('40', '23')]
random_backward 2 [('372', '425'), ('40', '23')]
greedy1_backward 2 [('372', '425'), ('40', '23')]
greedy2_backward 2 [('372', '425'), ('40', '23')]
Execution time: 0.010727405548095703 ms
