V = 130, E = 175
out_asc_forward 3 [('63', '32'), ('114', '61'), ('26', '131')]
out_desc_forward 3 [('32', '70'), ('131', '124'), ('131', '68')]
in_asc_forward 3 [('32', '70'), ('124', '50'), ('68', '26')]
in_desc_forward 3 [('63', '32'), ('131', '68'), ('131', '124')]
random_forward 3 [('70', '63'), ('49', '114'), ('26', '131')]
greedy1_forward 3 [('70', '63'), ('49', '114'), ('26', '131')]
greedy2_forward 3 [('70', '63'), ('49', '114'), ('26', '131')]
out_asc_backward 3 [('70', '63'), ('49', '114'), ('68', '26')]
out_desc_backward 3 [('63', '32'), ('61', '131'), ('26', '131')]
in_asc_backward 3 [('63', '32'), ('131', '124'), ('131', '68')]
in_desc_backward 3 [('70', '63'), ('26', '131'), ('61', '131')]
random_backward 3 [('32', '70'), ('38', '49'), ('68', '26')]
greedy1_backward 3 [('32', '70'), ('38', '49'), ('68', '26')]
greedy2_backward 3 [('32', '70'), ('38', '49'), ('68', '26')]
Execution time: 0.0034685134887695312 ms
