V = 175, E = 228
out_asc_forward 4 [('16', '130'), ('73', '90'), ('5', '168'), ('65', '118')]
out_desc_forward 4 [('98', '16'), ('90', '73'), ('153', '5'), ('139', '65')]
in_asc_forward 4 [('98', '16'), ('90', '73'), ('153', '5'), ('139', '65')]
in_desc_forward 4 [('16', '130'), ('73', '90'), ('5', '168'), ('65', '118')]
random_forward 4 [('130', '30'), ('73', '90'), ('153', '5'), ('139', '65')]
greedy1_forward 4 [('130', '30'), ('73', '90'), ('153', '5'), ('139', '65')]
greedy2_forward 4 [('130', '30'), ('73', '90'), ('153', '5'), ('139', '65')]
out_asc_backward 4 [('98', '16'), ('90', '73'), ('153', '5'), ('139', '65')]
out_desc_backward 4 [('30', '98'), ('73', '90'), ('129', '153'), ('118', '139')]
in_asc_backward 4 [('30', '98'), ('73', '90'), ('129', '153'), ('118', '139')]
in_desc_backward 4 [('98', '16'), ('90', '73'), ('153', '5'), ('139', '65')]
random_backward 4 [('16', '130'), ('90', '73'), ('129', '153'), ('118', '139')]
greedy1_backward 4 [('16', '130'), ('90', '73'), ('129', '153'), ('118', '139')]
greedy2_backward 4 [('16', '130'), ('90', '73'), ('129', '153'), ('118', '139')]
Execution time: 0.002959012985229492 ms
