V = 200, E = 240
out_asc_forward 2 [('6', '141'), ('13', '114')]
out_desc_forward 2 [('139', '92'), ('166', '56')]
in_asc_forward 2 [('139', '92'), ('166', '56')]
in_desc_forward 2 [('6', '141'), ('13', '114')]
random_forward 2 [('141', '84'), ('176', '74')]
greedy1_forward 2 [('141', '84'), ('176', '74')]
greedy2_forward 2 [('141', '84'), ('176', '74')]
out_asc_backward 2 [('92', '6'), ('56', '13')]
out_desc_backward 2 [('136', '139'), ('107', '166')]
in_asc_backward 2 [('136', '139'), ('107', '166')]
in_desc_backward 2 [('92', '6'), ('56', '13')]
random_backward 2 [('6', '141'), ('114', '176')]
greedy1_backward 2 [('6', '141'), ('114', '176')]
greedy2_backward 2 [('6', '141'), ('114', '176')]
Execution time: 0.0029985904693603516 ms
