V = 425, E = 468
out_asc_forward 4 [('9', '137'), ('137', '408'), ('222', '332'), ('198', '116')]
out_desc_forward 3 [('149', '21'), ('149', '9'), ('312', '198')]
in_asc_forward 3 [('332', '31'), ('164', '57'), ('312', '198')]
in_desc_forward 3 [('149', '9'), ('149', '21'), ('198', '116')]
random_forward 3 [('9', '137'), ('332', '31'), ('116', '370')]
greedy1_forward 3 [('9', '137'), ('332', '31'), ('116', '370')]
greedy2_forward 3 [('9', '137'), ('332', '31'), ('116', '370')]
out_asc_backward 3 [('149', '9'), ('21', '222'), ('312', '198')]
out_desc_backward 3 [('57', '149'), ('31', '149'), ('370', '312')]
in_asc_backward 3 [('222', '332'), ('408', '164'), ('370', '312')]
in_desc_backward 3 [('31', '149'), ('57', '149'), ('312', '198')]
random_backward 3 [('149', '9'), ('222', '332'), ('198', '116')]
greedy1_backward 3 [('149', '9'), ('222', '332'), ('198', '116')]
greedy2_backward 3 [('149', '9'), ('222', '332'), ('198', '116')]
Execution time: 0.009441852569580078 ms
