V = 390, E = 426
out_asc_forward 3 [('385', '441'), ('14', '204'), ('46', '288')]
out_desc_forward 3 [('385', '441'), ('123', '14'), ('136', '46')]
in_asc_forward 3 [('385', '441'), ('123', '14'), ('136', '46')]
in_desc_forward 3 [('385', '441'), ('14', '204'), ('46', '288')]
random_forward 3 [('385', '441'), ('204', '123'), ('136', '46')]
greedy1_forward 3 [('385', '441'), ('204', '123'), ('136', '46')]
greedy2_forward 3 [('385', '441'), ('204', '123'), ('136', '46')]
out_asc_backward 3 [('385', '441'), ('123', '14'), ('136', '46')]
out_desc_backward 3 [('385', '441'), ('204', '123'), ('288', '136')]
in_asc_backward 3 [('385', '441'), ('204', '123'), ('288', '136')]
in_desc_backward 3 [('385', '441'), ('123', '14'), ('136', '46')]
random_backward 3 [('385', '441'), ('14', '204'), ('288', '136')]
greedy1_backward 3 [('385', '441'), ('14', '204'), ('288', '136')]
greedy2_backward 3 [('385', '441'), ('14', '204'), ('288', '136')]
Execution time: 0.007981538772583008 ms
