V = 525, E = 630
out_asc_forward 4 [('111', '36'), ('144', '310'), ('413', '362'), ('156', '494')]
out_desc_forward 4 [('136', '111'), ('405', '144'), ('362', '294'), ('525', '156')]
in_asc_forward 4 [('136', '111'), ('405', '144'), ('362', '294'), ('525', '156')]
in_desc_forward 4 [('111', '36'), ('144', '310'), ('413', '362'), ('156', '494')]
random_forward 4 [('497', '39'), ('405', '144'), ('219', '458'), ('494', '525')]
greedy1_forward 4 [('497', '39'), ('405', '144'), ('219', '458'), ('494', '525')]
greedy2_forward 4 [('497', '39'), ('405', '144'), ('219', '458'), ('494', '525')]
out_asc_backward 4 [('136', '111'), ('405', '144'), ('27', '413'), ('525', '156')]
out_desc_backward 4 [('63', '136'), ('310', '405'), ('413', '362'), ('494', '525')]
in_asc_backward 4 [('63', '136'), ('310', '405'), ('413', '362'), ('494', '525')]
in_desc_backward 4 [('136', '111'), ('405', '144'), ('27', '413'), ('525', '156')]
random_backward 4 [('36', '497'), ('310', '405'), ('329', '219'), ('156', '494')]
greedy1_backward 4 [('36', '497'), ('310', '405'), ('329', '219'), ('156', '494')]
greedy2_backward 4 [('36', '497'), ('310', '405'), ('329', '219'), ('156', '494')]
Execution time: 0.012348413467407227 ms
