V = 625, E = 688
out_asc_forward 3 [('339', '438'), ('10', '393'), ('372', '394')]
out_desc_forward 3 [('561', '339'), ('393', '10'), ('479', '372')]
in_asc_forward 3 [('561', '339'), ('393', '10'), ('479', '372')]
in_desc_forward 3 [('339', '438'), ('10', '393'), ('372', '394')]
random_forward 3 [('343', '561'), ('10', '393'), ('394', '479')]
greedy1_forward 3 [('343', '561'), ('10', '393'), ('394', '479')]
greedy2_forward 3 [('343', '561'), ('10', '393'), ('394', '479')]
out_asc_backward 3 [('561', '339'), ('393', '10'), ('479', '372')]
out_desc_backward 3 [('343', '561'), ('10', '393'), ('394', '479')]
in_asc_backward 3 [('343', '561'), ('10', '393'), ('394', '479')]
in_desc_backward 3 [('561', '339'), ('393', '10'), ('479', '372')]
random_backward 3 [('438', '343'), ('393', '10'), ('372', '394')]
greedy1_backward 3 [('438', '343'), ('393', '10'), ('372', '394')]
greedy2_backward 3 [('438', '343'), ('393', '10'), ('372', '394')]
Execution time: 0.010190248489379883 ms
