V = 576, E = 570
out_asc_forward 4 [('101', '24'), ('413', '193'), ('570', '572'), ('556', '224')]
out_desc_forward 4 [('101', '24'), ('413', '193'), ('572', '282'), ('551', '216')]
in_asc_forward 4 [('101', '24'), ('413', '193'), ('572', '282'), ('551', '216')]
in_desc_forward 4 [('101', '24'), ('413', '193'), ('570', '572'), ('556', '224')]
random_forward 4 [('101', '24'), ('413', '193'), ('572', '282'), ('551', '216')]
greedy1_forward 4 [('101', '24'), ('413', '193'), ('572', '282'), ('551', '216')]
greedy2_forward 4 [('101', '24'), ('413', '193'), ('572', '282'), ('551', '216')]
out_asc_backward 4 [('101', '24'), ('413', '193'), ('282', '570'), ('354', '556')]
out_desc_backward 4 [('101', '24'), ('413', '193'), ('570', '572'), ('201', '551')]
in_asc_backward 4 [('101', '24'), ('413', '193'), ('570', '572'), ('201', '551')]
in_desc_backward 4 [('101', '24'), ('413', '193'), ('282', '570'), ('354', '556')]
random_backward 4 [('101', '24'), ('413', '193'), ('570', '572'), ('201', '551')]
greedy1_backward 4 [('101', '24'), ('413', '193'), ('570', '572'), ('201', '551')]
greedy2_backward 4 [('101', '24'), ('413', '193'), ('570', '572'), ('201', '551')]
Execution time: 0.01159977912902832 ms
