V = 675, E = 743
out_asc_forward 5 [('227', '526'), ('6', '54'), ('76', '671'), ('474', '534'), ('124', '663')]
out_desc_forward 5 [('526', '227'), ('54', '6'), ('157', '76'), ('534', '474'), ('663', '124')]
in_asc_forward 5 [('526', '227'), ('54', '6'), ('157', '76'), ('534', '474'), ('663', '124')]
in_desc_forward 5 [('227', '526'), ('6', '54'), ('76', '671'), ('474', '534'), ('124', '663')]
random_forward 5 [('227', '526'), ('6', '54'), ('76', '671'), ('474', '534'), ('663', '124')]
greedy1_forward 5 [('227', '526'), ('6', '54'), ('76', '671'), ('474', '534'), ('663', '124')]
greedy2_forward 5 [('227', '526'), ('6', '54'), ('76', '671'), ('474', '534'), ('663', '124')]
out_asc_backward 5 [('526', '227'), ('54', '6'), ('157', '76'), ('534', '474'), ('663', '124')]
out_desc_backward 5 [('227', '526'), ('6', '54'), ('671', '157'), ('474', '534'), ('124', '663')]
in_asc_backward 5 [('227', '526'), ('6', '54'), ('671', '157'), ('474', '534'), ('124', '663')]
in_desc_backward 5 [('526', '227'), ('54', '6'), ('157', '76'), ('534', '474'), ('663', '124')]
random_backward 5 [('526', '227'), ('54', '6'), ('157', '76'), ('534', '474'), ('124', '663')]
greedy1_backward 5 [('526', '227'), ('54', '6'), ('157', '76'), ('534', '474'), ('124', '663')]
greedy2_backward 5 [('526', '227'), ('54', '6'), ('157', '76'), ('534', '474'), ('124', '663')]
Execution time: 0.022446632385253906 ms
