V = 698, E = 778
out_asc_forward 4 [('65', '438'), ('12', '755'), ('153', '700'), ('129', '184')]
out_desc_forward 4 [('451', '635'), ('791', '355'), ('717', '292'), ('141', '129')]
in_asc_forward 4 [('451', '635'), ('791', '355'), ('717', '292'), ('141', '129')]
in_desc_forward 4 [('65', '438'), ('12', '755'), ('153', '700'), ('129', '184')]
random_forward 4 [('116', '387'), ('592', '240'), ('292', '144'), ('129', '184')]
greedy1_forward 4 [('116', '387'), ('592', '240'), ('292', '144'), ('129', '184')]
greedy2_forward 4 [('116', '387'), ('592', '240'), ('292', '144'), ('129', '184')]
out_asc_backward 4 [('635', '65'), ('240', '12'), ('57', '153'), ('141', '129')]
out_desc_backward 4 [('508', '451'), ('755', '791'), ('566', '717'), ('184', '141')]
in_asc_backward 4 [('508', '451'), ('755', '791'), ('566', '717'), ('184', '141')]
in_desc_backward 4 [('635', '65'), ('240', '12'), ('57', '153'), ('141', '129')]
random_backward 4 [('438', '116'), ('355', '592'), ('717', '292'), ('141', '129')]
greedy1_backward 4 [('438', '116'), ('355', '592'), ('717', '292'), ('141', '129')]
greedy2_backward 4 [('438', '116'), ('355', '592'), ('717', '292'), ('141', '129')]
Execution time: 0.025758028030395508 ms
