V = 833, E = 1012
out_asc_forward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('872', '797'), ('299', '207'), ('197', '676'), ('64', '614'), ('527', '744')]
out_desc_forward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('797', '645'), ('207', '299'), ('676', '197'), ('355', '64'), ('950', '930')]
in_asc_forward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('797', '645'), ('207', '299'), ('676', '197'), ('355', '64'), ('950', '930')]
in_desc_forward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('872', '797'), ('299', '207'), ('197', '676'), ('64', '614'), ('527', '744')]
random_forward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('275', '251'), ('299', '207'), ('197', '676'), ('64', '614'), ('744', '950')]
greedy1_forward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('275', '251'), ('299', '207'), ('197', '676'), ('64', '614'), ('744', '950')]
greedy2_forward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('275', '251'), ('299', '207'), ('197', '676'), ('64', '614'), ('744', '950')]
out_asc_backward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('581', '872'), ('207', '299'), ('676', '197'), ('355', '64'), ('271', '527')]
out_desc_backward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('872', '797'), ('299', '207'), ('197', '676'), ('614', '355'), ('744', '950')]
in_asc_backward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('872', '797'), ('299', '207'), ('197', '676'), ('614', '355'), ('744', '950')]
in_desc_backward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('581', '872'), ('207', '299'), ('676', '197'), ('355', '64'), ('271', '527')]
random_backward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('681', '275'), ('207', '299'), ('676', '197'), ('355', '64'), ('527', '744')]
greedy1_backward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('681', '275'), ('207', '299'), ('676', '197'), ('355', '64'), ('527', '744')]
greedy2_backward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('681', '275'), ('207', '299'), ('676', '197'), ('355', '64'), ('527', '744')]
Execution time: 0.027592182159423828 ms
