V = 833, E = 1012
out_asc_forward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('872', '797'), ('299', '207'), ('197', '676'), ('64', '614'), ('527', '744')]
out_desc_forward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('797', '645'), ('207', '299'), ('676', '197'), ('355', '64'), ('950', '930')]
in_asc_forward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('797', '645'), ('207', '299'), ('676', '197'), ('355', '64'), ('950', '930')]
in_desc_forward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('872', '797'), ('299', '207'), ('197', '676'), ('64', '614'), ('527', '744')]
random_forward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('645', '681'), ('207', '299'), ('197', '676'), ('614', '355'), ('271', '527')]
greedy1_forward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('645', '681'), ('207', '299'), ('197', '676'), ('614', '355'), ('271', '527')]
greedy2_forward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('645', '681'), ('207', '299'), ('197', '676'), ('614', '355'), ('271', '527')]
out_asc_backward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('581', '872'), ('207', '299'), ('676', '197'), ('355', '64'), ('271', '527')]
out_desc_backward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('872', '797'), ('299', '207'), ('197', '676'), ('614', '355'), ('744', '950')]
in_asc_backward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('872', '797'), ('299', '207'), ('197', '676'), ('614', '355'), ('744', '950')]
in_desc_backward 8 [('307', '52'), ('865', '859'), ('482', '439'), ('581', '872'), ('207', '299'), ('676', '197'), ('355', '64'), ('271', '527')]
random_backward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('797', '645'), ('299', '207'), ('676', '197'), ('64', '614'), ('429', '271')]
greedy1_backward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('797', '645'), ('299', '207'), ('676', '197'), ('64', '614'), ('429', '271')]
greedy2_backward 8 [('307', '52'), ('865', '859'), ('439', '482'), ('797', '645'), ('299', '207'), ('676', '197'), ('64', '614'), ('429', '271')]
Execution time: 0.03839874267578125 ms
